Explaining class 0 for compound: Cc1ncsc1-c1nnc(SCCCN2CCC3(CC3c3ccc(C(F)(F)F)cc3)C2)n1C
Shapley values for edges:
(tensor(0, device='cuda:0'),tensor(1, device='cuda:0')): -0.0020879301344028556
(tensor(1, device='cuda:0'),tensor(0, device='cuda:0')): -0.0105801532309029
(tensor(1, device='cuda:0'),tensor(2, device='cuda:0')): 0.014373628483513524
(tensor(1, device='cuda:0'),tensor(5, device='cuda:0')): -0.025434600640451176
(tensor(2, device='cuda:0'),tensor(1, device='cuda:0')): -0.027095182611283665
(tensor(2, device='cuda:0'),tensor(3, device='cuda:0')): -0.021699616486883466
(tensor(3, device='cuda:0'),tensor(2, device='cuda:0')): -0.01584789689516981
(tensor(3, device='cuda:0'),tensor(4, device='cuda:0')): 0.010403737453197576
(tensor(4, device='cuda:0'),tensor(3, device='cuda:0')): -0.009705058758672327
(tensor(4, device='cuda:0'),tensor(5, device='cuda:0')): -0.03785984118103096
(tensor(5, device='cuda:0'),tensor(1, device='cuda:0')): 0.0065779295103095495
(tensor(5, device='cuda:0'),tensor(4, device='cuda:0')): 0.033233080136291025
(tensor(5, device='cuda:0'),tensor(6, device='cuda:0')): -0.002695442263825125
(tensor(6, device='cuda:0'),tensor(5, device='cuda:0')): 0.017790681331871963
(tensor(6, device='cuda:0'),tensor(7, device='cuda:0')): -0.05926232965132115
(tensor(6, device='cuda:0'),tensor(31, device='cuda:0')): -0.005605278291410002
(tensor(7, device='cuda:0'),tensor(6, device='cuda:0')): 0.004651274262173542
(tensor(7, device='cuda:0'),tensor(8, device='cuda:0')): -0.01732680534290544
(tensor(8, device='cuda:0'),tensor(7, device='cuda:0')): 0.015015512334075847
(tensor(8, device='cuda:0'),tensor(9, device='cuda:0')): 0.050467888544045963
(tensor(9, device='cuda:0'),tensor(8, device='cuda:0')): -0.07311237846228515
(tensor(9, device='cuda:0'),tensor(10, device='cuda:0')): 0.03221093612623603
(tensor(9, device='cuda:0'),tensor(31, device='cuda:0')): 0.007913299291854387
(tensor(10, device='cuda:0'),tensor(9, device='cuda:0')): 0.00624897998390886
(tensor(10, device='cuda:0'),tensor(11, device='cuda:0')): -0.0312106294248263
(tensor(11, device='cuda:0'),tensor(10, device='cuda:0')): 0.09977071696964834
(tensor(11, device='cuda:0'),tensor(12, device='cuda:0')): -0.013509086876052633
(tensor(12, device='cuda:0'),tensor(11, device='cuda:0')): 0.04260291051144668
(tensor(12, device='cuda:0'),tensor(13, device='cuda:0')): 0.02807280011846929
(tensor(13, device='cuda:0'),tensor(12, device='cuda:0')): 0.03482471989686688
(tensor(13, device='cuda:0'),tensor(14, device='cuda:0')): 0.054180330282635844
(tensor(14, device='cuda:0'),tensor(13, device='cuda:0')): 0.08496786242295691
(tensor(14, device='cuda:0'),tensor(15, device='cuda:0')): 0.15788031794190227
(tensor(14, device='cuda:0'),tensor(30, device='cuda:0')): 0.12581619700456975
(tensor(15, device='cuda:0'),tensor(14, device='cuda:0')): 0.015454724949535032
